ID,Mapping
2511,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap~Paper or paperboard; waste and scrap, of paper or paperboard n.e.c. in heading no. 4707 and of unsorted waste and scrap"
2512,Wood pulp; mechanical wood pulp
2516,"Wood pulp; chemical wood pulp, dissolving grades"
2613,Silk; raw silk (not thrown)
2631,Cotton; not carded or combed
2632,Vegetable products; cotton linters
2633,Cotton; waste other than garnetted stock and yarn (including thread) waste
2634,Cotton; carded or combed
2640,"Jute and other textile bast fibres; processed but not spun, tow and waste of these fibres, including yarn waste and garnetted stock (excluding flax, hemp (cannabis sativa L.), and ramie)"
2652,"Hemp (cannabis sativa L.); processed (other than retted) (but not spun), true hemp tow and waste (including yarn waste and garnetted stock)"
2654,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie and other vegetable textile fibres n.e.c., raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock)~Sisal and other textile fibres of the genus agave; processed (but not spun), tow and waste of these fibres, including yarn waste and garnetted stock"
2655,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie and other vegetable textile fibres n.e.c., raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock)~Abaca (manila hemp or musa textilis nee); processed but not spun, tow, noils and waste, including yarn waste and garnetted stock"
2681,"Wool; (other than shorn), greasy (including fleece"
2682,"Wool; (not carded or combed), carbonised"
2683,"Hair; fine animal hair, not carded or combed~Hair; fine animal hair, not carded or combed, other than of kashmir (cashmere) goats"
2687,"Hair; coarse animal hair, carded or combed"
2711,"Fertilizers, animal or vegetable; whether or not mixed together or chemically treated; fertilizers, produced by the mixing or chemical treatment of animal or vegetable products"
2714,"Fertilizers, mineral or chemical; potassic, n.e.c. in heading no. 3104~Fertilizers, mineral or chemical; potassic, carnallite, sylvite and other crude natural potassium salts"
2712,"Fertilizers, mineral or chemical; nitrogenous, sodium nitrate"
2733,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal"
2734,"Stones; of heading no. 2515 or 2516 (excluding marble), in granules, chippings and powder, whether or not heat"
2741,"Sulphur; other kinds excluding crude, unrefined, sublimed, precipitated and colloidal~Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur"
2742,Iron pyrites; unroasted
2771,"Diamonds; industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set"
2783,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water
2784,Asbestos; other than crocidolite (blue asbestos)~Asbestos
2814,Iron pyrites; roasted
2815,Iron ores and concentrates; non
2816,Iron ores and concentrates; agglomerated (excluding roasted iron pyrites)
2860,Thorium ores and concentrates
2874,Lead ores and concentrates
2875,Zinc ores and concentrates
2876,Tin ores and concentrates
2877,"Manganese ores and concentrates, including manganiferous iron ores and concentrates with a manganese content of 20% or more, calculated on the dry weight~Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
2881,"Ash and residues; (other than from the manufacture of iron or steel),not containing mainly lead, or arsenic, mercury, thallium, antimony, beryllium, cadmium, chromium or their mixtures~Ash and residues; (not from the manufacture or iron or steel), containing mainly metals or metal compounds n.e.s. in heading no. 2620~Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly metals or their compounds, n.e.c. in heading no. 2620"
2922,"Natural gums, resins, gum"
2923,Vegetable materials of a kind used primarily for plaiting; n.e.c. in heading no. 1401~Vegetable materials of a kind used primarily for plaiting; n.e.s. in heading no. 1401
2924,"Seaweeds and other algae; of a kind used primarily for human consumption, fresh, chilled, frozen or dried, whether or not ground~Ephedra, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered~Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground~Plants and parts (including seeds and fruits) n.e.s. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes; fresh or dried, whether or not cut, crushed or powdered"
2925,"Seed; n.e.c. in heading no. 1209, of a kind used for sowing~Seed; n.e.s. in heading no. 1209, of a kind used for sowing~Seeds; n.e.c. in heading 1209, of a kind used for sowing"
3221,"Coal; anthracite, whether or not pulverised, but not agglomerated"
3222,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated"
3223,"Lignite; whether or not pulverised, but not agglomerated, excluding jet"
3224,"Peat; (including peat litter), whether or not agglomerated"
3232,Coke and semi
3330,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
3343,"Waste Oils; of petroleum or obtained from bituminous minerals, not crude and preparations n.e.c., weight 70% or preparations of the same, not containing polychlorinated biphenyls (PCBs), polychorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)~Diesel oils"
3344,"Waste Oils; of petroleum or obtained from bituminous minerals, not crude and preparations n.e.c., weight 70% or preparations of the same, not containing polychlorinated biphenyls (PCBs), polychorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)~Petroleum oil used in road building **LEGACY NON"
3345,Petroleum oils and products nes **LEGACY NON
3414,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas"
3415,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)"
3510,Electrical energy
4232,"Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable oils; soya"
4233,"Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable oils; cotton"
4234,"Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable oils; ground"
4235,"Vegetable oils; olive oil and its fractions, virgin, whether or not refined, but not chemically modified~Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable oils; oils and their fractions n.e.s. in chapter 15, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading no. 1509"
4236,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified~Vegetable oils; sunflower seed or safflower oil and their fractions, crude, not chemically modified~Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils"
4241,"Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable oils; linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified~Vegetable oils; linseed oil and its fractions, crude, not chemically modified"
4242,"Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified~Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils"
4243,"Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified~Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified"
4244,"Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable oils; palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified"
4245,"Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable oils; castor oil and its fractions, whether or not refined, but not chemically modified"
4249,"Vegetable oils; maize (corn) oil and its fractions, crude, not chemically modified~Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils~Vegetable fats and oils and their fractions; fixed, n.e.s. in heading no. 1515, whether or not refined, but not chemically modified"
4311,"Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils"
4312,"Vegetable oils; sesame oil and its fractions, whether or not refined, but not chemically modified~Vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter"
5111,"Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901"
5114,"Derivatives of hydrocarbons; n.e.s. in heading no. 2904, whether or not halogenated~Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated~Derivatives of hydrocarbons; n.e.c. in heading no. 2904, whether or not halogenated"
5122,"Alcohols; aromatic and derivatives, other than benzyl alcohol"
5139,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues~Acids; carboxylic acids, with additional oxygen function (not alcohol, phenol, aldehyde or ketone) and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives; other than 2,4,5~Acids; carboxylic acids, with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids, n.e.s. in heading no. 2918"
5145,Amine
5146,Amino
5147,"Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine~Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, malonylurea (barbituric acid) and its derivatives; salts thereof~Heterocyclic compounds; with nitrogen hetero~Heterocyclic compounds; containing an unfused imidazole ring (whether or not hydrogenated) in the structure, hydantoin and its derivatives"
5154,"Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine~Organo"
5155,Organo
5222,Phosphoric acid and polyphosphoric acids
5241,Spent (irradiated) fuel elements (cartridges) of nuclear reactors
5311,"Dyes; n.e.c., including mixtures of colouring matter of two or more of those from item no. 3204.11 to 3204.19~Dyes; n.e.s., including mixtures of colouring matter of two or more of those from item no. 3204.11 to 3204.19"
5323,"Tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre"
5331,Colouring matter; inorganic products of a kind used as luminophores
5332,"Ink; for printing, other than black, whether or not concentrated or solid"
5334,"Pigments; of a kind used in the manufacture of paints, other than stamping foils"
5411,"Vitamins; n.e.s. in heading no. 2936, including natural concentrates~Vitamins; n.e.c. in heading no. 2936, including natural concentrates"
5414,"Alkaloids; of vegetal origin, other than cocaine, ecgonine, levometamfetamine, metamfetamine (INN), metamfetamine racemate; salts, esters and other derivatives; n.e.c. in heading no. 2939~Alkaloids, vegetable; natural or reproduced by synthesis, and their salts, esters and other derivatives n.e.c. in heading no. 2939~Alkaloids, vegetable; natural or reproduced by synthesis, and their salts, esters and other derivatives n.e.s. in heading no. 2939"
5415,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; other than somatotropin, (its derivatives and structural anaologues) and insulin and its salts"
