ID,Mapping
0561,"Vegetables; mixtures of vegetables n.e.s. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried~Spices; fruits of the genus Capsicum or Pimenta, crushed or ground~Spices; fruits of the genus capsicum or pimenta, dried or crushed or ground~Vegetables; mixtures of vegetables n.e.c. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried"
0576,"Nuts, edible; mixtures of nuts or dried fruits of chapter 08~Fruit, edible; figs, fresh or dried~Nuts, edible; mixtures of nuts or dried fruits of chapter 8"
0579,"Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh"
0573,"Fruit, edible; bananas, (including plantains), fresh or dried~Nuts, edible; mixtures of nuts or dried fruits of chapter 08~Nuts, edible; mixtures of nuts or dried fruits of chapter 8~Fruit, edible; bananas, other than plantains, fresh or dried"
0574,"Fruit, edible; apples, fresh"
0582,"Vegetables, fruit, nuts, fruit~Fruit, nuts, fruit"
0583,"Jams, fruit jellies, marmalades, purees and pastes; of fruit or nuts n.e.c. in heading no. 2007, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter~Jams, fruit jellies, marmalades, purees and pastes; of fruit or nuts n.e.s. in heading no. 2007, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter"
0611,"Sucrose; chemically pure, containing added flavouring or colouring matter, in solid form~Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter~Sugars; beet sugar, raw, in solid form, not containing added flavouring or colouring matter~Sugars; sucrose, chemically pure, in solid form, containing added flavouring or colouring matter"
0612,"Sucrose; chemically pure, not containing added flavouring or colouring matter, in solid form~Sugars; sucrose, chemically pure, in solid form, not containing added flavouring or colouring matter"
0615,"Sugars; molasses, from sugar beet, resulting from the extraction or refining of sugar"
0616,Honey; natural
0619,"Sugars; n.e.s. in heading no. 1702, including invert sugar~Sugars; n.e.c. in heading no. 1702, including invert sugar and other sugar and sugar syrup blends containing, in the dry state, 50% by weight of fructose"
0620,"Sugar confectionery; (excluding chewing gum, including white chocolate), not containing cocoa"
0712,"Chicory, roasted and other roasted coffee substitutes; extracts, essences and concentrates thereof"
0711,"Coffee; husks and skins, coffee substitutes containing coffee in any proportion"
0721,"Cocoa beans; whole or broken, raw or roasted"
0722,"Cocoa; powder, not containing added sugar or other sweetening matter"
0730,Ice cream and other edible ice; whether or not containing cocoa~Chocolate and other food preparations containing cocoa; n.e.s. in chapter 18~Food preparations; obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals
0741,"Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg"
0742,Mate
0751,"Spices; pepper (of the genus piper), crushed or ground~Spices; fruits of the genus Capsicum or Pimenta, crushed or ground~Spices; fruits of the genus capsicum or pimenta, dried or crushed or ground"
