HS2017,SITC2
090620,07522
090710,07523
090720,07523
090811,07524
090812,07524
090821,07524
090822,07524
090831,07524
090832,07524
090921,07525
090922,07525
090931,07525
090932,07525
090961,07525
090962,07525
091011,07526
091012,07526
091020,07528
091030,07528
091091,07528
091099,07528
100111,0411
100119,0411
100191,0412
100199,0412
100210,0451
100290,0451
100310,0430
100390,0430
100410,0452
100490,0452
100510,0440
100590,0440
100610,04211
100620,04212
100630,04221
100640,04222
100710,04592
100790,04592
100810,04599
100821,04591
100829,04591
100830,04599
100840,04599
100850,04599
100860,04599
100890,04599
110100,04601
110220,04701
110290,04701
110311,04602
110313,04702
110319,04702
110320,04602
110412,04811
110419,04811
110422,04811
110423,04811
110429,04811
110430,04811
110510,05643
110520,05643
110610,05649
110620,05649
110630,05649
110710,0482
110720,0482
110811,59211
110812,59211
110813,59211
110814,59211
110819,59211
110820,59211
110900,59212
120110,2222
120190,2222
120230,2221
120241,2221
120242,2221
120300,2231
120400,2234
120510,2226
120590,2226
120600,2224
120710,2238
120721,2223
120729,2223
120730,2238
120740,2225
120750,2238
120760,2238
120770,2238
120791,2238
120799,2238
120810,2239
120890,2239
120910,2925
120921,2925
120922,2925
120923,2925
120924,2925
120925,2925
120929,2925
120930,2925
120991,2925
120999,2925
121010,05484
121020,05484
121120,098
121130,2924
121140,2924
121150,2924
121190,098
121221,292
121229,292
121291,05482
121292,292
121293,292
121294,292
121299,292
121300,081
121410,08112
121490,08112
130120,2922
130190,2922
130211,29291
130212,29291
130213,29291
130214,29291
130219,29291
130220,29291
130231,58529
130232,58529
130239,58529
140110,2923
140120,2923
140190,2923
140420,2632
140490,29298
150110,091
150120,091
150190,091
150210,41132
150290,41132
150300,41133
150410,4312
150420,431
150430,4312
150500,41134
150600,4312
150710,4232
150790,423
150810,4234
150890,4312
150910,4235
150990,423
151000,423
151110,4242
151190,4242
151211,4236
151219,423
151221,4233
151229,4312
151311,4243
151319,431
151321,424
151329,424
151411,42391
151419,423
151491,42391
151499,423
151511,4241
151519,4312
151521,4249
151529,431
151530,4312
151550,4312
151590,431
151610,431
151620,424
151710,09141
151790,098
151800,424
152000,51218
152110,43143
152190,43144
152200,43133
160100,0142
160210,0149
160220,0149
160231,0149
160232,0149
160239,0149
160241,0149
160242,0149
160249,0149
160250,0149
160290,098
160300,09809
160411,0371
160412,0371
160413,0371
160414,0371
160415,0371
160416,0371
160417,0371
160418,0371
160419,0371
160420,0371
160431,0371
160432,0371
160510,0372
160521,0372
160529,0372
160530,0372
160540,0372
160551,014
160552,014
160553,014
160554,014
160555,014
160556,014
160557,014
160558,014
160559,014
160561,014
160562,014
160563,014
160569,014
170112,0611
170113,0611
170114,0611
170191,061
170199,0612
170211,0619
170219,0619
170220,0619
170230,0619
170240,0619
170250,51692
170260,0619
170290,0619
170310,0615
170390,0615
170410,0620
170490,0620
180100,0721
180200,08192
180310,07231
180320,07231
180400,07232
180500,0722
180610,0730
180620,0730
180631,0730
180632,0730
180690,0730
190110,098
190120,098
190190,098
190211,0483
190219,0483
190220,098
190230,098
190240,098
190300,05645
190410,0730
190420,0730
190430,098
190490,098
190510,0484
190520,073
190531,073
190532,073
190540,0484
190590,0484
200110,098
200190,098
200210,056
200290,056
200310,056
200390,056
200410,098
200490,098
200510,098
200520,098
200540,098
200551,098
200559,098
200560,098
200570,098
200580,09809
200591,098
200599,098
200600,0582
200710,0583
200791,0583
200799,0583
200811,098
200819,098
200820,058
200830,058
200840,09809
200850,058
200860,058
200870,058
200880,09809
200891,09809
200893,09809
200897,09809
200899,09809
200911,05851
200912,05851
200919,05851
200921,05852
200929,05852
200931,05853
200939,05853
200941,05854
200949,05854
200950,05855
200961,05857
200969,05857
200971,05857
200979,05857
200981,05857
200989,05857
200990,05858
210111,09809
210112,09809
210120,09809
210130,0712
210210,098
210220,098
210230,098
210310,09804
210320,09809
210330,09803
210390,048
210410,0488
210420,014
210500,098
210610,09809
210690,09809
220110,11101
220190,11101
220210,11102
220291,11102
220299,11102
220300,1123
220410,11212
220421,112
220422,112
220429,112
220430,11211
220510,11213
220590,11213
220600,1122
220710,51216
220720,51216
220820,11242
220830,11241
220840,11249
220850,11249
220860,11249
220870,11249
220890,11249
220900,09807
230110,08141
230120,08142
230210,08121
230230,08122
230240,08122
230250,08123
230310,08193
230320,08193
230330,08193
230400,08131
230500,08132
230610,08133
230620,08134
230630,08135
230641,08136
230649,08136
230650,08137
230660,08138
230690,08139
230700,08194
230800,08119
230910,08199
230990,08199
240110,1211
240120,1212
240130,1213
240210,1221
240220,1222
240290,1222
240311,1223
240319,1223
240391,1223
240399,1223
250100,2783
250200,2742
250300,2741
250410,27822
250490,27822
250510,2733
250590,2733
250610,27851
250620,27851
250700,27821
250810,27821
250830,27821
250840,27821
250850,27821
250860,27821
250870,27821
250900,27891
251010,27131
251020,27132
251110,27892
251120,27892
251200,27895
