ID,Title,Parent
1223,"Tobacco, manufactured (including smoking and chewing tobacco, snuff); tobacco extract and essences",122
2518,"Chemical wood pulp, sulphite",251
2111,"Bovine and equine hides, (other than calf skims), raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2116,"Sheep and lamb skin with the wool on (except astrakhan, caracul, Persian lamb, broadtail and similar skins), raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2117,"Sheep and lamb skin without the wool, raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2119,"Hides and skins, n.e.s.; waste and used leather",211
2112,"Calf skins, raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2114,"Goat and kid skins, raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2120,"Furskins, raw (including astrakhan, caracul, Persian lamb, broadtail and similar skins)",212
2221,"Groundnuts (peanuts), green, whether or not shelled",222
2222,Soya beans,222
2223,Cotton seeds,222
2224,Sunflower seeds,222
2225,Sesame (sesamum seeds),222
2226,Rape and colza seeds,222
2231,Copra,223
2232,Palm nuts and kernels,223
2234,Linseed,223
2235,Castor oil seeds,223
2238,"Oil seeds and oleaginous fruits, n.e.s.",223
2239,"Flour or meals of oil seeds or oleaginous fruit, non",223
2320,Natural rubber latex; natural rubber and similar natural gums,232
2332,"Reclaimed rubber, waste, scrap of unhardened rubber",233
2331,Synthetic rubber latex; synthetic rubber; factice derived from oils,233
2440,"Cork, natural, raw and waste (including natural cork in blocks or sheets)",244
2450,Fuel wood (excluding wood waste) and wood charcoal,245
2460,Pulpwood (including chips and wood waste),246
2472,"Sawlogs and veneer logs, of non",247
2479,"Pitprops, poles, piling, post and other wood in the rough, n.e.s.",247
2471,"Sawlogs and veneer logs, of coniferous species",247
2483,Wood of non,248
2481,Railway or tramway sleepers (ties) of wood,248
2482,"Wood of coniferous species, sawn, planed, tongued, grooved, etc",248
2511,Waste paper and paperboard; scrap articles of paper or of paperboard fit only for use in paper,251
2512,Mechanical wood pulp,251
2516,"Chemical wood pulp, dissolving grades",251
2517,"Chemical wood pulp, soda or sulphate",251
2614,"Silk worm cocoons suitable for reeling and silk waste (including cocoons unsuitable for reeling, silk noils and pulled or garnetted rags)",261
2613,Raw silk (not thrown),261
2631,"Cotton (other then linters), not carded or combed",263
2632,Cotton linters,263
2633,"Cotton waste (including pulled or garnetted rags), not carded or combed",263
2634,"Cotton, carded or combed",263
2640,"Jute and other textile bast fibres, n.e.s., raw or processed but not spun; tow and waste thereof (including pulled or garnetted rags or ropes)",264
2651,"Flax and ramie, flax tow, ramie noils, and waste of flax or ramie (including pulled or garnetted rags)",265
2652,"True hemp (""Cannabis sativa""), raw or processed but not spun; tow and waste of true hemp (including pulled or garnetted rags or ropes)",265
2654,"Sisal and other fibres of the agave family, raw or processed but not spun; waste of such fibres",265
2655,"Manila hemp (abaca) (""Musa textilis""), raw or processed but not spun; tow and waste of Manila hemp (including pulled or garnetted rags or ropes)",265
2659,"Vegetable textile fibres, n.e.s., and waste of such fibres",265
2665,"Synthetic fibres(discontinuous), not carded, combed or otherwise prepared for spinning",266
2666,Continuous filament tow for the manufacture of synthetic fibres (discontinuous),266
2667,"Synthetic fibres (discontinuous or waste), carded, combed or otherwise prepared for spinning",266
2672,"Waste (including yarn waste and pulled or garnetted rages), of man",267
2671,Regenerated fibre suitable for spinning,267
2686,"Waste of sheep's or lambs' wool, or of other animal hair (fine or coarse), n.e.s.",268
2681,"Sheep's or lambs' wool, greasy or fleece",268
2682,"Sheep's or lambs' wool, degreased, whether or not bleached or dyed in the mass, not carded or combed",268
2683,"Fine animal hair, not carded or combed",268
2685,"Horsehair and other coarse animal hair (excluding wool), not carded or combed",268
2687,"Sheep's or lambs' wool or of other animal hair (fine or coarse), carded or combed (excluding wool tops)",268
2690,Old clothing and other old textile articles; rags,269
2711,"Guano and other natural animal or vegetable fertilizers, whether or not mixed together, but not chemically treated",271
2713,"Natural calcium phosphates, natural aluminium calcium phosphates, apatite and phosphatic chalk",271
2714,"Potassium salts, natural, crude",271
2712,"Sodium nitrate, natural, containing not more than 16.3% by weight of nitrogen",271
2731,"Building and monumental (dimension) stone, not futher worked than roughly split, roughly squared or squared by sawing",273
2733,"Sands, natural, of all kinds, whether or not coloured (other than metal",273
2734,Pebbles and crushed or broken stone (whether or not heat,273
2732,"Gypsum, plasters, limestone flux and calcareous stone commonly used for the manufacture of lime or cement",273
2741,"Sulphur (other than sublimed, precipitated or colloidal sulphur)",274
2742,"Iron pyrites, unroasted",274
2771,"Industrial diamonds, sorted, whether or not worked",277
2772,"Natural abrasives, n.e.s.",277
2786,"Slag, scalings, dross and similar waste, n.e.s.",278
2789,"Minerals, crude, n.e.s.",278
2782,"Clay and other refractory minerals, n.e.s.",278
2783,"Common salt (including rock salt, sea salt and table salt); pure sodium chloride; salt liquors; sea water",278
2784,Asbestos,278
2785,"Quartz, mica, felspar, fluorspar, cryolite and chiolite",278
2814,"Roasted iron pyrites (pyrites cinders), whether, or not agglomerated",281
2815,"Iron ore and concentrates, not agglomerated",281
2816,"Iron ore agglomerates (sinters, pellets, briquettes, etc. )",281
2820,Waste and scrap metal of iron or steel,282
2860,Ores and concentrates of uranium and thorium,286
2872,"Nickel ores and concentrates; nickel mattes, nickel sinters and other intermediate products of nickel metallurgy",287
2874,Lead ores and concentrates,287
2875,Zinc ores and concentrates,287
2876,Tin ores and concentrates,287
2877,Manganese ore and concentrates (including manganiferous iron ores and consentrates with a manganese content of 20% or more by weight),287
2879,Ores and concentrates of other non,287
2873,Aluminium ores and concentrates (including alumina),287
2871,Copper ore and concentrates; copper matte; cement copper,287
2881,"Ash and residues, other than from the manufacture of iron or steel), containing metals or metallic compounds,n.e.s.",288
2882,Other non,288
2890,"Ores and concentrates of precious metals, waste, scrap and sweepings of precious metals (other than of gold)",289
2911,"Bones, ivory, horns, coral, shells and similar products",291
2919,"Other materials of animal origin, n.e.s.",291
2927,Cut flowers and foliage,292
2922,"Shellac, seed lac, stick lac and other lacs; natural gums, resins, gum",292
2923,"Vegetable materials of a kind used primarily for plaiting (e.g. cereal straw, cleaned, bleached or dyed, osier, reeds, rushes, rattans, bamboos, raffia and lime bark)",292
2924,"Plants and parts (including seeds and fruit) of trees, bushes, shrubs or other plants, being goods of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whole, cut, crushed, ground or powdered",292
2925,"Seeds, fruits and spores, n.e.s., of a kind used for sowing",292
2926,"Bulbs, tubers and rhizomes of flowering or of foliage plants; cuttings, slips, live trees and other plants",292
2929,"Other materials of vegetable origin, n.e.s.",292
3221,"Anthracite, whether or not pulverized, but not agglomerated",322
3222,"Other coal, whether or not pulverized, but not agglomerated",322
3223,"Lignite, whether or not pulverized, but not agglomerated",322
3224,"Peat, whether or not compressed into bales, but not agglomerated",322
3231,"Briquettes, ovoids and similar solid fuels manufactured from coal, lignite or peat",323
3232,Coke and semi,323
3330,Crude petroleum and oils obtained from bituminous materials,333
3342,Kerosene and other medium oils,334
3343,Gas oils,334
3344,"Fuel oils, n.e.s.",334
3345,"Lubrlcatlng petroleum oils and oils obtained from bituminmus minerals, other heavy petroleum oils and heavy oils obtained from bituminous minerals, and preparations, n.e.s.",334
3341,Motor spirit (gasoline) and other light oils,334
3353,Pitch and pitch coke obtained from coal tar or from other mineral tars,335
