HS2012,SITC2
060240,29269
060290,29269
060311,29271
060312,29271
060313,29271
060314,29271
060315,29271
060319,29271
060390,29271
060420,29272
060490,29272
070110,0541
070190,0541
070200,0544
070310,05451
070320,05451
070390,05451
070410,05459
070420,05459
070490,05459
070511,05459
070519,05459
070521,05459
070529,05459
070610,05459
070690,05459
070700,05459
070810,05459
070820,05459
070890,05459
070920,0440
070920,0751
070920,05459
070930,0440
070930,0751
070930,05459
070940,05459
070940,0751
070940,0440
070951,05459
070959,05459
070960,0440
070960,0751
070960,05459
070970,0440
070970,05459
070970,0751
070991,0440
070991,0751
070991,05459
070992,0751
070992,0440
070992,05459
070993,0440
070993,0751
070993,05459
070999,0440
070999,0751
070999,05459
071010,05461
071021,05461
071022,05461
071029,05461
071030,05461
071040,09809
071080,05461
071090,05461
071120,09809
071120,0751
071120,05659
071120,05462
071140,05659
071140,05462
071140,0751
071140,09809
071151,09809
071151,05659
071151,05462
071151,0751
071159,05462
071159,09809
071159,05659
071159,0751
071190,05462
071190,05659
071190,0751
071190,09809
071220,0561
071231,0561
071232,0561
071233,0561
071239,0561
071290,0561
071310,0542
071320,0542
071331,0542
071332,0542
071333,0542
071334,0542
071335,0542
071339,0542
071340,0542
071350,0542
071360,0542
071390,0542
071410,05481
071420,05481
071430,05481
071440,05481
071450,05481
071490,05481
080111,05771
080112,05771
080119,05771
080121,05772
080122,05772
080131,05773
080132,05773
080211,05774
080212,05774
080221,05775
080222,05775
080231,05779
080232,05779
080241,05779
080242,05779
080251,05779
080252,05779
080261,05779
080262,05779
080270,05779
080280,05779
080290,05779
080310,0573
080390,0573
080410,05796
080420,0576
080430,05795
080440,05797
080450,05797
080510,05711
080520,05712
080540,05722
080550,05721
080590,05729
080610,05751
080620,05752
080711,05798
080719,05798
080720,05798
080810,0574
080830,05792
080840,05792
080910,05793
080921,05793
080929,05793
080930,05793
080940,05793
081010,05794
081020,05794
081030,05798
081030,05794
081040,05794
081050,05798
081050,05794
081060,05798
081060,05794
081070,05798
081070,05794
081090,05794
081090,05798
081110,05862
081110,05861
081120,05861
081120,05862
081190,05862
081190,05861
081210,05863
081290,05863
081310,0573
081310,05711
081310,05721
081310,05799
081310,05775
081310,05772
081310,05795
081310,05779
081310,05797
081310,05774
081310,0576
081310,05773
081310,05771
081310,05729
081310,05722
081310,05712
081310,05752
081310,05796
081320,05774
081320,05752
081320,05796
081320,05712
081320,05729
081320,05722
081320,05775
081320,05779
081320,05772
081320,05711
081320,05799
081320,05721
081320,05771
081320,05795
081320,0576
081320,05797
081320,05773
081320,0573
081330,05774
081330,05721
081330,05771
081330,0576
081330,05711
081330,05796
081330,05722
081330,05729
081330,05799
081330,05775
081330,05772
081330,05779
081330,05773
081330,05797
081330,05752
081330,0573
081330,05795
081330,05712
081340,05729
081340,05722
081340,05712
081340,0573
081340,05795
081340,05721
081340,05711
081340,05796
081340,05774
081340,05772
081340,05771
081340,05797
081340,05779
081340,05775
081340,05799
081340,05773
081340,0576
081340,05752
081350,05752
081350,0576
081350,05774
081350,05721
081350,05711
081350,05771
081350,05773
081350,05775
081350,05799
081350,05779
081350,05797
081350,05772
081350,05796
081350,0573
081350,05795
081350,05712
081350,05722
081350,05729
081400,05864
090111,07111
090112,07111
090121,07112
090122,07112
090190,07113
090190,07111
090210,0741
090220,0741
090230,0741
090240,0741
090300,0742
090411,0751
090412,0751
090421,0751
090421,0561
090422,0751
090422,0561
090510,07521
090520,07521
090611,07522
