SITC_CODE,OENACE_CODE
0129,C1091
0115,C1200
0019,C2410
0240,G4652
0341,A0121
2519,A0170
1211,C3101
0585,S9512
0723,S9603
0619,S9412
0811,S9512
0711,S9602
2672,S9512
2683,R9321
